sLocation,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,W7NYW,145.17000,-,0.5999999999999943,TSQL,110.9,110.9,023,NN,023,,FM,5,,1.0W,,,,,
2,W7NYW,145.27000,-,0.6000000000000227,TSQL,110.9,110.9,023,NN,023,,FM,5,,1.0W,,,,,
3,K7OJI,147.12000,+,0.5999999999999943,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
4,K7CVO,146.78000,-,0.5999999999999943,TSQL,156.7,107.2,023,NN,023,,FM,5,,1.0W,,,,,
5,W7OSU,147.16000,+,0.5999999999999943,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
6,W7CQZ,441.97500,+,5,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
7,N8GFO,442.30000,+,5,Tone,162.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
8,K7LNK,440.42500,+,5,DCS,D125,D125,D125,NN,023,,FM,5,,1.0W,,,,,
9,WA7TUV,146.82000,-,0.5999999999999943,TSQL,100.0,100.0,023,NN,023,,FM,5,,1.0W,,,,,
10,W7OSU,443.05000,+,5,DCS,D032,D032,D032,NN,023,,FM,5,,1.0W,,,,,
11,AB7BS,440.80000,+,5,DCS,D125,127.3,D125,NN,023,,FM,5,,1.0W,,,,,
12,AB7BS,441.72500,+,5,Tone,136.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
13,K7WVD,444.27500,+,5,Tone,67.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
14,W7LT,146.94000,-,0.5999999999999943,Tone,CSQ,127.3,023,NN,023,,FM,5,,1.0W,,,,,
15,W7OTV,146.96000,-,0.5999999999999943,TSQL,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
16,K7RPT,147.12000,+,0.5999999999999943,TSQL,100.0,100.0,023,NN,023,,FM,5,,1.0W,,,,,
17,WB7QIW,147.28000,+,0.5999999999999943,TSQL,167.9,167.9,023,NN,023,,FM,5,,1.0W,,,,,
18,W7OTV,440.25000,+,5,Tone,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
19,KC7MZM,440.30000,+,5,Tone,167.9,127.3,023,NN,023,,FM,5,,1.0W,,,,,
20,W7ZRS,442.07500,+,5,TSQL,103.5,103.5,023,NN,023,,FM,5,,1.0W,,,,,
21,WB7QIW,443.47500,+,5,TSQL,167.9,167.9,023,NN,023,,FM,5,,1.0W,,,,,
22,K7RPT,444.22500,+,5,TSQL,100.0,100.0,023,NN,023,,FM,5,,1.0W,,,,,
23,KJ7IY,146.80000,-,0.6000000000000227,TSQL,107.2,107.2,023,NN,023,,FM,5,,1.0W,,,,,
24,W7DTV,440.70000,+,5,TSQL,77.0,77.0,023,NN,023,,FM,5,,1.0W,,,,,
25,N7PIR,443.70000,+,5,TSQL,103.5,103.5,023,NN,023,,FM,5,,1.0W,,,,,
26,N7PIR,443.87500,+,5,TSQL,103.5,103.5,023,NN,023,,FM,5,,1.0W,,,,,
27,KB7WUK,1291.00000,-,20,Tone,107.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
28,KJ7IY,53.35000,-,1.7000000000000028,TSQL,107.2,107.2,023,NN,023,,FM,5,,1.0W,,,,,
29,KJ7IY,442.87500,+,5,TSQL,107.2,107.2,023,NN,023,,FM,5,,1.0W,,,,,
30,KJ7IY,443.15000,+,5,TSQL,107.2,107.2,023,NN,023,,FM,5,,1.0W,,,,,
